,meanWaitTime,action,dispersion,headwaySD
0,11.083333333333334,Skip,0,0
1,11.083333333333334,Skip,0,2386.040541744368
2,14.083333333333334,No action,0,2368.306303416614
3,21.166666666666668,No action,8.33333333333333,2297.8734098563214
4,23.916666666666668,No action,8.33333333333333,2264.7938132632144
5,26.666666666666668,No action,8.33333333333333,2244.6939754196605
6,28.5,Hold,8.33333333333333,2234.35369751159
7,31.25,Skip,8.33333333333333,2196.158722612077
8,43.166666666666664,No action,8.33333333333333,1975.0191899058152
9,46.666666666666664,Skip,18.333333333333336,1886.4666349335619
10,47.5,Hold,18.333333333333336,1888.559592771933
11,64.16666666666667,No action,18.333333333333336,1919.5975668008882
12,65.0,Skip,18.333333333333336,1910.0528577855002
13,66.75,No action,18.333333333333336,1892.253820704793
14,67.66666666666667,No action,18.333333333333336,1882.8521987970676
15,71.33333333333333,Hold,23.066666666666666,1794.4210592373051
16,76.5,No action,23.89784946236559,1541.1209959215475
17,79.5,Hold,22.85416666666667,1459.8161879871493
18,87.0,No action,22.85416666666667,1477.195991685223
19,81.91666666666667,Skip,31.972868217054266,1464.9750928808387
20,83.91666666666667,Hold,26.9954954954955,1457.5887577842957
21,86.58333333333333,Hold,26.9954954954955,1435.653315255759
22,97.25,Skip,26.9954954954955,1284.8377765515338
23,99.91666666666667,Hold,26.9954954954955,1236.2815619297055
24,101.91666666666667,No action,26.9954954954955,1213.1679241416755
25,98.5,No action,31.766666666666666,930.2859534757393
26,99.08333333333333,Hold,31.766666666666666,930.5444817855256
27,100.58333333333333,Hold,28.3843537414966,985.4141841513482
28,95.41666666666667,Hold,23.261904761904763,1191.650405131439
29,95.91666666666667,No action,23.261904761904763,1180.317151923105
30,96.41666666666667,Hold,23.261904761904763,1167.1506422356779
31,86.25,Skip,29.153153153153145,1006.5022240946888
32,89.66666666666667,Hold,29.153153153153145,873.5904124722946
33,90.83333333333333,Hold,29.153153153153145,894.2591495817455
34,99.16666666666667,No action,28.473333333333336,1000.0864593761656
35,101.0,No action,27.974358974358974,991.8728281840895
36,101.58333333333333,Hold,27.766666666666662,991.692463291971
37,102.58333333333333,Hold,29.373563218390807,994.4571683849065
38,74.33333333333333,Hold,33.02688172043011,814.634787103874
39,75.83333333333333,Hold,32.35460992907802,856.850363159239
40,80.0,No action,33.005376344086024,1013.853362688173
41,62.166666666666664,Hold,32.85333333333333,990.8049400526718
42,64.16666666666667,Hold,32.823232323232325,983.8695038929478
43,65.66666666666667,No action,32.823232323232325,974.4925848481349
44,69.91666666666667,Hold,27.327956989247312,814.638516308485
45,72.58333333333333,Hold,27.949275362318843,863.9520744012362
46,77.25,No action,27.949275362318843,994.9061577852358
47,56.5,No action,28.84313725490196,971.0539553019531
48,59.5,Hold,31.117161716171626,989.9691543872476
49,46.0,Hold,25.560606060606066,767.2643932370248
50,47.5,Hold,25.560606060606066,779.5112396611433
51,53.5,Skip,23.855311355311358,982.9505669098422
52,58.75,No action,23.855311355311358,920.4017533318956
53,55.416666666666664,Hold,21.66666666666666,920.9697576370002
54,56.083333333333336,Hold,20.857142857142858,926.567883981295
55,69.41666666666667,Hold,19.138497652582156,759.1944542762557
56,70.08333333333333,Hold,19.138497652582156,763.1613788760212
57,77.16666666666667,Skip,19.138497652582156,954.0091441286819
58,77.91666666666667,Skip,19.138497652582156,971.9736140019058
59,86.16666666666667,Hold,19.138497652582156,955.6993955708936
60,86.91666666666667,Hold,19.138497652582156,956.6609266455617
61,100.41666666666667,No action,18.01141552511416,825.8412936307393
62,101.91666666666667,No action,18.01141552511416,822.76833707043
63,96.75,Skip,16.41282051282051,990.14128461279
64,104.08333333333333,Hold,16.41282051282051,1059.6083794283102
65,104.75,No action,16.41282051282051,1060.3762327711888
66,108.75,Hold,16.41282051282051,1012.7094553595397
67,118.08333333333333,No action,16.958333333333336,842.4497686221567
68,118.75,No action,16.958333333333336,836.3115756253723
69,109.91666666666667,Hold,17.195402298850578,847.0710292849642
70,114.58333333333333,Skip,17.195402298850578,917.5754694223874
71,121.91666666666667,Hold,17.195402298850578,1015.9405836376259
72,125.91666666666667,No action,17.780701754385962,921.5015694774136
73,129.25,Hold,18.41666666666666,889.9558604059795
74,131.25,No action,18.41666666666666,889.9801257933569
75,121.41666666666667,Hold,18.51851851851852,910.8287491513853
76,125.5,No action,17.94242424242425,973.8071396254946
77,126.66666666666667,Hold,17.94242424242425,989.888387787005
78,108.66666666666667,Hold,18.559523809523803,1087.904526793797
79,109.66666666666667,No action,17.92105263157895,1055.4348597301914
80,86.83333333333333,No action,17.816939890710387,905.2603026061279
81,93.66666666666667,No action,18.366666666666667,839.9872474207294
82,94.16666666666667,Skip,18.366666666666667,844.718091494494
83,98.25,No action,18.366666666666667,840.9075553259413
84,99.41666666666667,No action,18.366666666666667,817.5539621376566
85,91.66666666666667,Hold,19.42708333333334,762.2637335204724
86,72.91666666666667,Hold,20.166666666666664,790.6040625084917
87,73.33333333333333,Hold,20.166666666666664,793.1793284625435
88,73.75,No action,20.166666666666664,795.0002389399758
89,59.083333333333336,Hold,27.138211382113823,819.8933300226046
90,62.0,No action,26.491967871485944,763.8984224729446
91,68.08333333333333,Hold,26.4662447257384,755.6509803004353
92,70.5,Hold,25.866666666666667,831.7249965484243
93,72.5,No action,26.516877637130804,832.016643185559
94,58.416666666666664,No action,32.106060606060616,878.4133201890832
95,28.5,Hold,29.873737373737374,846.4194343143108
96,37.25,Hold,28.854166666666668,791.4771600874675
97,40.75,Hold,29.440350877192984,879.6608674489362
