,meanWaitTime,action,dispersion,headwaySD
0,11.083333333333334,No action,0,0
1,11.083333333333334,No action,0,2386.040541744368
2,14.083333333333334,No action,0,2368.306303416614
3,21.166666666666668,No action,8.33333333333333,2297.8734098563214
4,23.916666666666668,No action,8.33333333333333,2264.7938132632144
5,26.666666666666668,No action,8.33333333333333,2244.6939754196605
6,28.5,No action,8.33333333333333,2234.35369751159
7,31.25,No action,8.33333333333333,2236.3980247471554
8,39.166666666666664,No action,7.4242424242424265,2398.011813285826
9,43.333333333333336,No action,7.214285714285714,2368.394566852876
10,45.833333333333336,No action,7.214285714285714,2333.8927506216346
11,48.333333333333336,No action,7.214285714285714,2313.784865580553
12,50.0,No action,7.214285714285714,2303.470467808581
13,56.666666666666664,No action,7.214285714285714,2311.896632689022
14,57.75,No action,13.059139784946238,2431.3006724961024
15,64.33333333333333,No action,13.9047619047619,2371.514064386294
16,66.83333333333333,No action,13.9047619047619,2333.8927506216346
17,69.33333333333333,No action,13.9047619047619,2313.784865580553
18,71.08333333333333,No action,13.9047619047619,2303.470467808581
19,77.66666666666667,No action,13.132183908045974,2228.381618090831
20,77.41666666666667,No action,19.929824561403507,2366.5586399013036
21,82.66666666666667,No action,21.166666666666668,2381.7187060680253
22,84.91666666666667,No action,21.166666666666668,2350.1787596936815
23,87.16666666666667,No action,21.166666666666668,2330.0699663085916
24,88.66666666666667,No action,21.166666666666668,2319.761877470411
25,95.41666666666667,No action,21.166666666666668,2328.2272474724964
26,94.08333333333333,No action,26.0,2459.9280694287695
27,98.08333333333333,No action,26.800813008130085,2403.089250077815
28,100.08333333333333,No action,26.800813008130085,2366.5029357128533
29,102.08333333333333,No action,26.800813008130085,2346.3935737015936
30,103.5,No action,26.800813008130085,2336.091875627952
31,111.0,No action,27.783333333333328,2256.197522455524
32,108.0,No action,32.72463768115943,2459.9280694287695
33,113.16666666666667,No action,33.67777777777778,2371.514064386294
34,115.25,No action,33.67777777777778,2336.812266537775
35,117.5,No action,33.67777777777778,2331.0849681292407
36,119.0,No action,33.67777777777778,2334.4880246974058
37,133.08333333333334,No action,33.67777777777778,2435.13169293896
38,133.25,No action,47.79569892473118,2459.9280694287695
39,138.25,No action,48.866120218579255,2403.089250077815
40,140.75,No action,48.866120218579255,2366.5029357128533
41,143.25,No action,48.866120218579255,2346.3935737015936
42,144.91666666666666,No action,48.866120218579255,2336.091875627952
43,153.25,No action,48.866120218579255,2344.590941567583
44,149.33333333333334,No action,53.863184079602,2459.9280694287695
45,151.83333333333334,No action,53.863184079602,2442.157277346586
46,154.33333333333334,No action,53.863184079602,2420.7562382739684
47,156.0,No action,53.863184079602,2410.163827538867
48,157.66666666666666,No action,53.863184079602,2402.1347765668343
49,169.33333333333334,No action,53.863184079602,2407.3419025685557
50,156.5,No action,52.1974358974359,2459.9280694287695
51,159.0,No action,52.1974358974359,2442.157277346586
52,161.5,No action,52.1974358974359,2420.7562382739684
53,163.25,No action,52.1974358974359,2410.163827538867
54,165.08333333333334,No action,52.1974358974359,2402.1347765668343
55,178.83333333333334,No action,52.1974358974359,2407.34543940881
56,166.0,No action,50.53174603174604,2459.9280694287695
57,168.75,No action,50.53174603174604,2442.157277346586
58,171.5,No action,50.53174603174604,2420.7562382739684
59,173.33333333333334,No action,50.53174603174604,2410.163827538867
60,175.16666666666666,No action,50.53174603174604,2402.1347765668343
61,188.0,No action,50.53174603174604,2407.34543940881
62,171.66666666666666,No action,48.03333333333333,2459.9280694287695
63,174.16666666666666,No action,48.03333333333333,2442.157277346586
64,176.66666666666666,No action,48.03333333333333,2420.7562382739684
65,178.33333333333334,No action,48.03333333333333,2410.163827538867
