,headwaySD
0,2386.040541744368
0,2368.306303416614
0,2125.112214123658
0,2080.723332629999
0,1894.2430137513159
0,1885.0065306256165
0,1847.3912255649109
0,1694.8649240227203
0,1687.5201035401724
0,1701.6929297940983
0,1716.360339066913
0,1545.8878561531126
0,1440.589494650444
0,1424.7873926562106
0,1386.739342141205
0,1303.2801575343995
0,1322.4966056710903
0,1388.5631667046655
0,1486.3255943953047
0,1495.1458623450608
0,1489.1880162838925
0,1462.3603000472667
0,1052.3609389695573
0,1117.9126449809635
0,1429.2367971103397
0,1466.9661737274503
0,1413.9904669413047
0,1262.8943645540323
0,1236.6152234297547
0,1236.1196890112758
0,1224.4121067716087
0,1220.9539159258043
0,1118.4648313042806
0,1125.4014737892394
0,1194.9760191650412
0,1148.2669075159727
0,1120.2627438660033
0,1115.0718809765922
0,1058.7033324982506
0,1166.2328745724733
0,1179.2960354560455
0,1091.78686931931
0,1081.1244861319317
0,1070.3936123389792
0,1102.4874629691599
0,1239.7483109177815
0,1223.3838914034761
0,1082.6437790403663
0,1037.3576199503366
0,1041.0205621371938
0,1099.994337257021
0,1234.5069886837662
0,1234.3355960754955
0,1045.5878687858738
0,1042.4858239113987
0,1121.3727601578648
0,1237.9605545290535
0,1235.281374771223
0,1058.999225454932
0,1057.029317863865
0,1109.4067056388774
0,1215.483714528127
0,1168.7730761996397
0,1057.903422393781
0,1056.8392015248262
0,1057.1202706271436
0,1103.694166221386
0,1151.6282861946165
0,1229.2204485887817
0,1043.9907209453304
0,1039.3370234618233
0,1028.1405848586999
0,1070.995877508329
0,1130.226242834571
0,974.0599838842106
0,952.5481532206194
0,953.988004632419
0,958.006094054266
0,955.2103708360889
0,898.4058732656538
0,892.1838297553605
0,887.146997562982
0,915.8397192090378
0,927.8951171956643
0,923.0594116061362
0,806.2713024816585
0,830.5928419231168
0,851.253189737865
0,932.8087756823857
0,836.270635924797
0,803.9201984804171
0,799.322681222632
0,800.0843987190409
0,887.314597416435
0,1010.9896137910786
0,943.7113899572546
0,774.7309628678057
0,737.4310819142052
0,712.3475418280976
0,683.9651984023974
0,682.2382579946615
0,673.1273458681912
0,663.4048461542083
0,738.9067426681061
0,744.1436858561998
0,753.0319365414631
0,786.8498929835135
0,777.0385711282273
0,837.445289991319
0,820.2599668061106
0,777.8460373413587
0,756.6860123443649
0,688.6165808715432
0,544.0893269274794
0,541.8109881211409
0,575.0555821177435
0,638.705834986076
0,664.217647443332
0,676.1375705102797
0,458.164951407934
0,464.7811396236335
0,543.948641293608
0,579.0798136232112
0,345.1135994445994
0,308.1322004646727
0,313.08378496900133
0,396.0896577200585
0,469.7379885479547
0,454.4178226847029
0,441.01313295024687
0,335.0144499470451
0,331.9967577393435
0,385.54088978303594
0,444.2164087012204
0,449.2346678624819
0,450.6333237032451
0,485.9646921101421
0,465.93588070609127
0,457.98238160500733
0,454.254257719879
0,379.51988755271213
0,450.70671839474295
0,470.92204745138935
0,457.21973840629136
0,451.4159938197031
0,424.13585976335673
0,454.92543732838095
0,531.8939729025878
0,532.6720119432363
0,480.71550946835276
0,433.8403466439504
0,431.0560776608532
0,434.65695623735985
0,486.1717762611486
0,483.59281235786585
0,459.86653016605356
0,422.72494787034174
0,417.0006582178643
0,405.8115196260467
0,481.79034102624587
0,450.1787533038551
0,456.94854293266525
0,465.7500566589981
0,468.6331166811133
0,512.5136987520364
0,582.6634699787021
0,597.7245348589174
0,612.3435148612466
0,775.8167331632372
0,694.3796534975642
0,704.047712071959
0,710.4600029938671
0,715.82628618424
0,730.4375807708099
0,845.6859344332978
0,907.0996119245873
0,906.6994263264553
0,903.3513973118582
0,899.1438099251077
0,852.1145174130171
0,719.2052752842458
0,755.0765267356593
0,748.6585419823388
0,741.8239866808065
0,744.1125626796054
0,745.7168708815956
0,707.824864784624
0,647.853057175414
0,628.2235280875053
0,629.8634691565243
0,635.6817040808411
0,661.736877081775
0,661.6898294095295
0,580.6327726119949
0,571.949343411765
0,537.2494369377946
0,533.3002915942415
0,534.4997494313168
0,534.1347624783964
0,462.41625479174803
0,481.25270358083696
0,510.8802857161877
0,557.3273247590535
0,567.403126872335
0,545.9082419227021
0,614.8247031145751
0,601.823578109025
0,595.5825353543108
0,601.7501975790989
0,601.1328066452114
0,573.9658723895648
0,546.0387011509551
0,540.6766941600217
0,536.030968191981
0,536.2351816690941
0,537.8493593788772
0,560.262880734549
0,500.8173259873239
0,501.261272035476
0,500.11819246400296
0,485.52679667958796
0,494.65482749620503
0,509.7578357986918
0,406.00210072229316
0,408.4771899492712
0,425.3992263984738
0,533.0627711391381
0,552.584604575805
0,558.8848281341888
0,557.7750164887176
0,512.9756912742665
0,515.1483250581049
0,550.5509716371783
0,534.2499882117012
0,551.2511129991666
0,577.4611572000111
0,629.4996628391195
0,576.0844884600989
0,580.2190966214375
0,582.4087606403303
0,585.1214028471678
0,477.1938523079074
0,479.03123023779096
0,481.67103588702884
0,537.0718293045268
0,539.9048725851059
0,548.6883850796005
0,427.3220586185853
0,431.6748029886242
0,522.1850246084862
0,575.3532945869621
0,578.8822931911512
0,524.7802165981188
0,501.9489609222744
0,520.7482391052613
0,530.2507888999163
0,537.70906452624
0,540.593329333967
0,542.5010529402865
0,399.62308362512005
0,398.38368849244324
0,503.24004052487385
0,519.9825862344005
0,539.4926337583671
0,586.4459096368008
0,555.6514169508442
