,headwaySD
0,1.500789838348124
0,6.358635641568326
0,186.66120130557275
0,82.17352442646389
0,115.61802402980065
0,234.1487901776704
0,176.2997074743901
0,186.511661386985
0,232.48564802776303
0,252.87837307027004
0,280.1106208665109
0,282.69975005884487
0,298.9934132310535
0,306.6184629687739
0,239.36887698000052
0,297.79120044737533
0,348.7822018586002
0,458.4117672623418
0,459.59180371160767
0,348.02792530437347
0,340.67577091552727
0,339.62382176215687
0,349.10605994294764
0,480.89432692091754
0,477.14027742639246
0,366.4271460407312
0,375.6187375961604
0,365.25854675147576
0,387.24748886640094
0,488.5738881738729
0,485.86388273263805
0,383.463295070945
0,392.5021744278054
0,385.1323250809028
0,410.8803478305251
0,486.3274062490093
0,483.6240402609586
0,399.27573834451226
0,403.09657401242634
0,402.3721454870961
0,413.6296650252359
0,474.48912786104324
0,476.6998305660791
0,381.9935516326012
0,389.5358830889508
0,409.4921602017145
0,414.86453366999484
0,483.05328585591906
0,479.89841928789707
0,383.24646517178286
0,397.69875654263177
0,413.5768896435367
0,423.4982808505051
0,483.3144703309032
0,482.38508826441023
0,387.26428218767256
0,389.7825167187252
0,420.57527928438554
0,436.13740790365233
0,474.9680860806745
0,468.19092297566544
0,408.6582221286732
0,381.28334017244384
0,382.3879497201054
0,421.966858045616
0,468.589199804554
0,409.4708921685804
0,295.33514969813905
0,311.0081019978955
0,430.7311978452715
0,442.06387860114614
0,405.83550882373777
0,403.00737491184105
0,396.77101693616123
0,459.4183193774313
0,407.1674946982982
0,338.0830040555869
0,340.29148815655907
0,335.56114056242507
0,388.7031160197982
0,350.7888745701925
0,323.89698264520257
0,341.5299377311844
0,336.1322147484033
0,392.8490609286175
0,348.55576025301247
0,333.7660434928767
0,339.70574929717566
0,295.3961764696975
0,378.1042947114645
0,401.22164726245757
0,402.4419880316775
0,398.7438829276535
0,320.25668724044175
0,343.77452749666537
0,361.74068394669456
0,381.64646374477104
0,398.15493065821914
0,404.04482229466714
0,406.24638326274555
0,382.7191780324512
0,357.10356419427353
0,358.1589499545635
0,367.87003734380625
0,308.05638351156136
0,287.40213480224685
0,285.8403241127621
0,309.2051327552994
0,342.78152664751724
0,354.41201135582594
0,353.7267687803361
0,365.6729272535016
0,371.53699798277773
0,383.95263057591717
0,393.38304082139706
0,388.4981297806408
0,336.8446395677916
0,362.7497048203103
0,373.15903161107695
0,404.1507862421389
0,420.26909983805757
0,418.02785009311543
0,356.7180240451073
0,354.50115434696863
0,351.30642192947295
0,341.76724998576634
0,340.7362465270568
0,372.7566686536097
0,366.00997277082325
0,366.76019974284617
0,356.947843525571
0,336.6028282214316
0,378.7216388244655
0,361.0769618523945
0,360.60161669327766
0,364.82240816632185
0,354.5199327137875
0,335.13509947482373
0,356.20028802471353
0,349.6450800772439
0,353.6997189079397
0,355.54942613119516
0,345.8315175811324
0,307.1674530556039
0,321.7209307985555
0,336.6092060741788
0,336.10548683048233
0,334.8444184473341
0,313.65693455057976
0,322.61174012528846
0,330.61628164938685
0,334.3012860762313
0,357.57737405707815
0,347.7130834067396
0,395.91026024073807
0,387.9432047778814
0,366.9846567013698
0,369.80105772593754
0,400.8389590041812
0,421.6324646801077
0,397.11959486056867
0,381.9757061501279
0,388.8018142816037
0,392.17865379937354
0,432.591728939912
0,441.33310468272026
0,413.17931981431764
0,385.8182415946946
0,394.4135655563073
0,406.680058884404
0,421.4875692417671
0,426.4725317711955
0,389.95456849170967
0,382.1795471078424
0,389.9986156325857
0,397.7386628160088
0,413.63116700590484
0,425.69916427997214
0,391.75782924006614
0,375.0816193381559
0,385.3831775155735
0,414.01445666626995
0,421.6741238969049
0,433.39242814336296
0,412.7401733843378
0,412.5353254324275
0,414.672031056439
0,458.3160429014994
0,475.20541814976076
0,479.59681586608644
0,571.5853903082976
0,574.2532873944505
0,583.7829869759079
0,582.9251655496273
0,576.770430057652
0,511.6779065540698
0,578.8821763249123
0,608.098627051749
0,612.1338359254934
0,611.1376994071106
0,612.6360687816397
0,615.5526133686704
0,648.3116062511916
0,705.2190504178277
0,722.3173575759865
0,686.2492808029423
0,678.5641025151729
0,666.5473521063601
0,681.9989761905806
0,693.9577830379086
0,726.1924120369202
0,776.1224322410952
0,798.8212235311513
0,786.938804225483
0,767.2518913774156
0,740.3210499056023
0,790.9743707796395
0,839.509833363427
0,817.0974837326461
0,763.9682707125702
0,749.7183511918917
0,798.5865516040466
0,889.1206797939311
0,907.5649879194449
0,871.7531135909728
0,804.6772101629045
0,817.2230061269751
0,938.031689775043
0,1013.7459550205641
0,1027.5554702312777
0,1039.6411535503757
0,1011.7216263991531
0,1019.8451525584576
0,1030.6381387517931
0,1002.6905596155824
0,1024.2995502262888
0,1035.266530885041
0,1024.2286681502762
0,1035.5404947301142
0,1038.7784391329826
0,984.4194659159385
0,1034.9394833098534
0,1035.5247087018925
0,1078.1065149775322
0,1102.823662005853
0,1077.7390230432936
0,1106.460304461595
0,1101.638534217867
0,1108.839773667285
0,1097.0854911381996
0,1095.1683551984956
0,1138.2832287196218
0,1173.811440427099
0,1184.896655058529
0,1166.2273957964726
0,1114.259510783083
0,1095.8088438495504
0,1081.469599678745
0,1151.3682848516466
0,1158.078695246523
0,1186.1088532993083
0,1179.427343052263
0,1175.74166233283
0,1149.813580538843
0,1213.0147456299621
0,1260.1940084932248
0,1182.534616625802
0,1143.2900674692703
0,1148.6467318090258
0,1140.1115174177285
0,1132.9898082688364
0,1108.5785850914376
0,1112.5144209067832
0,1177.5418827345954
0,1242.9075824117238
0,1249.088865316769
0,1192.2973510079416
0,1173.6029037349047
0,1155.6943019215284
0,1253.4141548528785
0,1152.1211632492862
0,1118.5471546879708
0,1101.2224101396996
0,1118.551341351095
0,1186.1376405250037
0,1210.4118571128006
0,1207.7447449031847
0,1180.3361355182776
0,1163.4016662749514
0,1180.816256021044
0,1184.6446831721903
0,1215.219313301162
0,1208.5984676697021
0,1203.0815584462905
0,1182.3362837988275
0,1129.9157801063461
0,1121.5369067588556
0,1151.4362722682406
0,1176.1391782425562
0,1203.572706142302
0,1209.6252800382933
0,1238.2773224417665
0,1229.9964633779327
0,1224.3578830522645
0,1222.9420906495216
0,1237.6121786100396
0,1251.9243274131584
0,1258.278721782349
0,1209.342782990035
0,1203.7391385083763
0,1205.117888159218
0,1229.3533657646562
0,1272.9262452662
0,1292.7632186131607
0,1252.6241600966446
0,1223.3988611808054
0,1216.233695617693
0,1217.861822304521
0,1221.013603448108
0,1213.8193363451305
0,1188.6803318567138
0,1207.4948766492646
0,1208.8012354759153
0,1211.7946623597397
0,1229.752969446032
0,1237.0336654006899
0,1232.5980117428599
