,headwaySD
0,2386.040541744368
0,2368.306303416614
0,2297.8734098563214
0,2264.7938132632144
0,2244.6939754196605
0,2234.35369751159
0,2236.3980247471554
0,2398.011813285826
0,2401.4118540080635
0,2398.455536080071
0,2392.178928919985
0,2378.221178706626
0,2378.646615183967
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.5909415675833
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.34543940881
0,2459.9280694287695
0,2387.842589690023
0,2350.1787596936815
0,2330.0699663085916
0,2319.761877470411
0,2328.22234402168
0,2459.9280694287695
0,2387.842589690023
0,2350.1787596936815
0,2330.0699663085916
0,2319.761877470411
0,2328.227247472497
0,2459.9280694287695
0,2355.2233000583096
0,2317.6457130899494
0,2297.53909033057
0,2287.218471217524
0,2295.614583154558
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.5860268447987
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.0918756279525
0,2344.5909415675833
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.34543940881
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.5860268447987
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.5909415675833
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.590941567583
0,2455.547334657501
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.3419025685557
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2410.2854633662528
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2337.285781951256
0,2426.5269918496983
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2365.8365755822065
0,2435.2268511978573
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2359.568904433955
0,2372.5657325353172
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.590941567583
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.3419025685557
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2291.2980660124367
0,2289.340172702361
0,2412.4753701048776
0,2431.8648040486055
0,2419.47448187166
0,2409.5942191274053
0,2402.7030110827136
0,2437.14516901115
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2422.48649332546
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2437.0800490740858
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2437.006194078949
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.209218726002
0,2437.131676082476
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.6026544506703
0,2437.2408829049746
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2375.465715912662
0,2361.226976839628
0,2436.8128595230432
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2369.881662501869
0,2348.136277412947
0,2433.700900445711
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2410.2854633662528
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.590941567583
0,2459.9280694287695
0,2403.089250077815
0,2366.5029357128533
0,2346.3935737015936
0,2336.091875627952
0,2344.5860268447987
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.34543940881
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.34543940881
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.3419025685557
0,2459.9280694287695
0,2442.157277346586
0,2383.0405271143277
0,2350.8843418316715
0,2333.682554416848
0,2335.2838324181457
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2407.34543940881
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2436.4699521877237
0,2459.9280694287695
0,2442.157277346586
0,2383.0405271143277
0,2356.1173593038625
0,2325.716937414147
0,2400.016751227878
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2437.0908329016374
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2402.1347765668343
0,2434.7773120995703
0,2459.9280694287695
0,2442.157277346586
0,2420.7562382739684
0,2410.163827538867
0,2359.568904433955
0,2335.0340054813914
0,2459.9280694287695
