,headwaySD
0,2386.040541744368
0,2368.306303416614
0,2351.6664800376802
0,2350.3798329994083
0,2356.87355327263
0,2346.7239305903136
0,2229.7672318328764
0,2163.729035916738
0,2145.254862199672
0,2123.4568817906134
0,2115.56146142397
0,2123.274036570119
0,2163.9133730019216
0,2162.5013442704103
0,2145.246987627972
0,2111.1889926484173
0,2084.9445777329433
0,2051.5635976230396
0,2171.793104641697
0,2192.315212503972
0,2191.061850067197
0,2169.678622902835
0,1867.925039244527
0,1869.7661854158846
0,2071.684336807506
0,2110.61275524879
0,2046.6404566943431
0,1928.5683870986659
0,1905.5879756725276
0,2002.4610574131025
0,2019.2998611150686
0,2043.9401282124925
0,1967.2834235919186
0,1918.3426331732803
0,1914.9725170295226
0,1891.1045697124816
0,2113.7520224481286
0,2129.0372953666692
0,2078.2948923561357
0,1921.9063963098376
0,1909.73471803692
0,2016.87972245452
0,2133.57758920348
0,2171.2133306334094
0,2024.0612468410852
0,1918.4368791519655
0,1901.4533737774905
0,1914.648412996322
0,1941.1818448873414
0,1922.7916686250462
0,1892.790419890926
0,1898.8807537650107
0,1937.5414686683828
0,1902.3799844534183
0,1901.4605236414463
0,1958.1041296482563
0,1984.1144396324944
0,1956.489832553585
0,1934.797324828199
0,1896.3755438127369
0,1884.7394202741486
0,1917.0181226260845
0,1939.902860908745
0,1941.2245194742814
0,1921.9427383123743
0,1908.9332828627118
0,1912.7146468985209
0,1925.3034505749706
0,1913.0772491496577
0,1886.221289719465
0,1861.152244042001
0,1860.582252590577
0,1924.266529543478
0,1926.484733353148
0,1911.6688864713108
0,1836.320547501514
0,1825.6875008472018
0,1852.7983365171206
0,1948.578877711074
0,1938.1882059176414
0,1931.3676823968501
0,1848.430348222465
0,1853.3378768446162
0,1869.890241991363
0,1896.1269634060784
0,1919.4665943432003
0,1794.5491214762665
0,1817.4320143340242
0,1881.5243092680132
0,1949.0866963003918
0,1971.8651297813335
0,1952.4589482875786
0,1862.2492353429452
0,1937.18755104608
0,1997.221877458698
0,1996.507630480483
0,1972.853707634514
0,1973.4261511858335
0,1968.5027562236326
0,1912.7745756518937
0,1900.0858081636125
0,1904.5023705457622
0,1950.318605916024
0,2012.2558212195142
0,2055.3915506479143
0,1979.4365382456233
0,1915.422348513043
0,1917.4639922390113
0,1939.9249736991262
0,1967.2785977261415
0,1909.0694507740034
0,1891.6310736448122
0,1896.7403522365614
0,1926.748303035634
0,1836.9255794481098
0,1828.3566301292142
0,1820.7425802055272
0,1884.8214839711304
0,1893.7401069693394
0,1925.8951001271819
0,1643.00655241532
0,1667.673245244027
0,1907.7300782289105
0,1904.509941878251
0,1907.1085732958
0,1921.1450989218715
0,1806.9577044072616
0,1803.3487477801214
0,1817.2452606596223
0,1845.352018759865
0,1898.5783644027651
0,1926.5088610622554
0,1913.0891844333576
0,1859.4200035978063
0,1855.0217904192752
0,1852.3658356476249
0,1931.0856076434482
0,1932.5158016074681
0,1921.5551447363032
0,1894.9079168092267
0,1796.798648418294
0,1892.6813737183377
0,1905.634390412897
0,1883.42733532151
0,1834.3394895808015
0,1746.441128412483
0,1813.1408082109892
0,1824.287916201826
0,1788.5533957523382
0,1653.5651432953048
0,1646.8232497470865
0,1734.9781809196782
0,1656.3887691288605
0,1647.0210870555225
0,1629.3613187023793
0,1656.8506930279573
0,1575.1078352466325
0,1558.5068437107784
0,1584.272298489214
0,1613.1271447080574
0,1618.2291326134489
0,1691.7947728661811
0,1648.9186357951162
0,1653.294493141735
0,1630.0643174025183
0,1630.4909973423757
0,1688.8155107489456
0,1655.6344681890641
0,1752.3616738021137
0,1757.117682787117
0,1724.4356372783593
0,1689.2360600744382
0,1643.1040793576567
0,1627.9164108800824
0,1675.255605871919
0,1687.974036510896
0,1708.8850454714768
0,1729.89013232471
0,1743.1088455248207
0,1748.8388140707984
0,1810.0462572705096
0,1877.7066959477324
0,1877.725474879207
0,1877.73604676949
0,1877.730247703869
0,1877.7296132428119
0,1753.6428339343813
0,1757.7935016046424
0,1753.8418506888927
0,1744.4181808782148
0,1739.0118380906829
0,1736.9396654110487
0,1736.4306581319659
0,1736.4305863324073
0,1736.4305566252747
0,1736.4305562563518
0,1736.4305561470412
0,1736.228095637879
0,1736.5093973149285
0,1736.47493485249
0,1736.4310691580738
0,1736.4307841263562
0,1736.4213082098959
0,1736.410334131111
0,1746.6323195228795
0,1746.6495453492203
0,1746.6631667662543
0,1746.8652352485194
0,1746.7231475431015
0,1746.6899130384493
0,1746.6633284550112
0,1746.6633267879374
0,1746.6633260981846
0,1746.6633260896185
0,1746.6633260870803
0,1746.6633260863284
0,1867.1480764406476
0,1871.4923915051036
0,1873.628701309396
0,1876.6697665542526
0,1946.402629798366
0,1957.5230107226664
0,2000.7144762706905
0,2004.8324534197693
0,2075.7288241552387
0,2076.763847685886
0,2077.582324051761
0,2077.4553855104905
0,2077.3585622544488
0,2077.167897019229
0,2132.563126485755
0,2141.602734162001
0,2148.476394151195
0,2154.3649933648853
0,2160.174613496052
0,2166.92540626638
0,2275.441312772229
0,2277.2867620812335
0,2277.596007866337
0,2277.641123960018
0,2278.261937168838
0,2278.2248809036255
0,2278.1740707747904
0,2278.1759579296845
0,2278.1763993694353
0,2278.176647883668
0,2278.1767497993765
0,2278.1767513115224
0,2278.176752521208
0,2278.1767525212254
0,2278.176752521236
0,2278.1767525212376
