,headwaySD
0,5.804836489227491
0,296.4921789112751
0,148.70343986158042
0,303.51791331356736
0,248.5391589204584
0,318.94349564355963
0,324.06304694542933
0,375.65837533884724
0,373.2435299580631
0,360.30414114559755
0,317.8417895893071
0,420.3329409197217
0,451.07696710101504
0,439.9004426174095
0,389.9594258539951
0,435.6547135523479
0,433.4104825749085
0,435.1205316682132
0,476.9721949574486
0,488.91032307560135
0,361.87671725237516
0,332.99348846611804
0,321.41233497728564
0,425.8862028594872
0,430.74460607465153
0,408.782960291753
0,404.5803826182821
0,385.5479906851198
0,365.30996046618475
0,368.69536142394674
0,374.75090534765735
0,376.20486450278065
0,383.3841837333523
0,360.15643837720796
0,342.0655287532233
0,353.2006306391439
0,378.38882571999346
0,389.27224215924883
0,345.61638473940053
0,231.80658874276105
0,235.46669445427355
0,262.0496519141617
0,277.30302817896205
0,287.554278253148
0,264.9477705842146
0,212.13453515687203
0,242.35689831923966
0,347.38071565291114
0,358.0850192662593
0,352.2213049129158
0,261.7191963516385
0,256.2554865650251
0,247.16509297768306
0,254.42304986424134
0,291.62292179297924
0,288.86511118621627
0,318.621964648911
0,315.3721914948902
0,317.4129605920572
0,319.6883750158033
0,324.99916517414135
0,326.81278199792337
0,410.5109426753868
0,405.42484999485805
0,412.68822322375865
0,428.32848454863506
0,439.1529649742072
0,486.27759182213333
0,490.65107196669464
0,513.387361839303
0,533.0450798322084
0,651.2566979339748
0,681.1948795354203
0,737.3336855485578
0,769.0983233483392
0,756.8904036765471
0,672.6470524279744
0,754.1003210958041
0,797.6387469871576
0,789.8510087556604
0,718.9990416225698
0,741.7309680095159
0,780.5404390915453
0,803.5522696191821
0,852.5127509192226
0,785.5261520834013
0,741.9166165526914
0,746.533951541096
0,810.0533969312445
0,836.37633921906
0,863.9231307727863
0,856.5565388787743
0,880.3872608929073
0,889.296459424421
0,922.1769317684873
0,875.7668571661181
0,870.1624790075808
0,866.0390340543448
0,881.9138746425235
0,890.7696901711804
0,934.6310742432544
0,940.7271168237149
0,938.6807712194441
0,924.1457717541392
0,915.4193665452157
0,906.8966776555961
0,869.3769227226879
0,851.5112969254112
0,855.6852960912429
0,842.1371319059498
0,839.8987085939034
0,850.9870669892083
0,803.907106137812
0,801.2069799492795
0,843.9955159839644
0,850.1439680994955
0,848.037963904764
0,838.2071625904229
0,808.9947290069305
0,830.3975651021691
0,836.7324944952403
0,846.2246969386487
0,867.3415553242211
0,896.702754750086
0,893.6353003629578
0,921.4472706101639
0,878.8277611193216
0,888.2407027748382
0,977.9184858956276
0,1003.2704046709628
0,971.6689158464851
0,938.156085910961
0,947.2751064645275
0,960.6208957883781
0,1039.182424594419
0,1042.7801632333847
0,1032.8414223948869
0,1039.0252467767118
0,1102.8767591118362
0,1104.3049032187885
0,1104.794906624188
0,1116.4057725313817
0,1122.2815032835917
0,1132.797874597085
0,1130.209134968797
0,1111.773578892564
0,1101.5434427478765
0,1135.2137321922557
0,1155.2837711680465
0,1212.2798568181552
0,1156.3664702113253
0,1186.3772297083578
0,1211.3586889685455
0,1268.777340133813
0,1307.179787808342
0,1301.0518126539614
0,1347.086664079079
0,1378.501461644942
0,1395.1083671460851
0,1417.8622370339579
0,1417.0973004022221
0,1407.8882107974866
0,1430.0952044600542
0,1421.110398847394
0,1398.1815146236509
0,1506.7372034809339
0,1550.09800798032
0,1563.409114854749
