,meanWaitTime,action
0,11.083333333333334,Skip
1,11.083333333333334,Skip
2,14.083333333333334,Hold
3,31.25,Skip
4,34.0,Hold
5,51.416666666666664,Hold
6,52.333333333333336,Hold
7,56.0,Skip
8,70.66666666666667,Hold
9,72.5,Skip
10,74.33333333333333,Hold
11,76.83333333333333,Hold
12,72.75,Hold
13,76.5,No action
14,78.66666666666667,Skip
15,80.83333333333333,Hold
16,86.83333333333333,Skip
17,88.33333333333333,Skip
18,91.33333333333333,Skip
19,95.83333333333333,Hold
20,104.08333333333333,Hold
21,105.58333333333333,No action
22,104.75,Skip
23,95.58333333333333,Hold
24,102.0,Hold
25,105.5,Skip
26,107.25,Hold
27,107.83333333333333,No action
28,99.5,Hold
29,103.5,No action
30,104.5,Skip
31,110.75,No action
32,115.41666666666667,Hold
33,115.91666666666667,Skip
34,105.08333333333333,Hold
35,108.66666666666667,Skip
36,115.75,No action
37,117.75,Hold
38,118.41666666666667,Hold
39,122.66666666666667,Hold
40,109.58333333333333,Hold
41,109.66666666666667,No action
42,92.91666666666667,Hold
43,94.16666666666667,Hold
44,103.16666666666667,No action
45,105.75,Skip
46,107.75,Skip
47,109.91666666666667,Skip
48,121.33333333333333,Skip
49,123.16666666666667,Hold
50,124.08333333333333,Hold
51,125.41666666666667,Hold
52,74.58333333333333,Hold
53,76.83333333333333,Hold
54,79.16666666666667,No action
55,84.0,Hold
56,86.66666666666667,No action
57,91.33333333333333,Hold
58,96.0,Skip
59,100.33333333333333,No action
60,103.33333333333333,No action
61,104.16666666666667,Hold
62,105.5,No action
63,110.83333333333333,Hold
64,115.5,Hold
65,118.5,No action
66,119.66666666666667,No action
67,66.41666666666667,Hold
68,66.91666666666667,Hold
69,74.91666666666667,Hold
70,75.83333333333333,Skip
71,77.08333333333333,No action
72,77.91666666666667,No action
73,59.833333333333336,Hold
74,61.25,Skip
75,61.916666666666664,Hold
76,66.33333333333333,Hold
77,69.33333333333333,Skip
78,71.33333333333333,Skip
79,76.5,Hold
80,78.5,No action
81,77.16666666666667,Hold
82,83.83333333333333,Skip
83,84.33333333333333,Skip
84,87.33333333333333,Skip
85,90.33333333333333,Skip
86,95.33333333333333,Hold
87,99.91666666666667,No action
88,100.58333333333333,Skip
89,102.91666666666667,Skip
90,106.41666666666667,Hold
91,108.75,No action
92,98.75,Hold
93,64.41666666666667,Hold
94,64.91666666666667,No action
95,37.916666666666664,Hold
96,43.25,Hold
97,44.25,Skip
98,46.25,Hold
99,47.416666666666664,Hold
100,48.666666666666664,Hold
101,47.666666666666664,Hold
102,49.333333333333336,No action
103,50.916666666666664,Hold
104,53.916666666666664,Hold
105,33.083333333333336,Hold
106,29.083333333333332,Skip
107,29.5,Hold
108,28.75,Hold
109,32.666666666666664,Skip
110,34.75,Hold
111,39.666666666666664,Skip
112,42.583333333333336,Hold
113,43.75,Skip
114,44.416666666666664,No action
115,50.416666666666664,Hold
116,36.0,Skip
117,39.5,Hold
118,46.666666666666664,Hold
119,48.416666666666664,Hold
120,43.833333333333336,Hold
121,43.583333333333336,No action
122,37.0,Hold
123,37.75,Hold
124,38.166666666666664,Hold
125,38.25,No action
126,32.0,Skip
127,34.75,Skip
128,43.25,Hold
129,44.25,Skip
130,44.75,No action
131,43.083333333333336,Hold
132,44.25,Hold
133,50.75,Hold
134,51.333333333333336,Skip
135,58.5,Hold
136,59.833333333333336,Hold
137,56.5,Hold
138,57.5,Skip
139,64.75,Skip
140,66.58333333333333,Hold
141,70.08333333333333,Hold
142,42.833333333333336,Hold
143,43.583333333333336,Skip
144,44.666666666666664,Hold
145,55.166666666666664,Skip
146,66.16666666666667,Hold
147,67.66666666666667,Hold
148,41.833333333333336,Hold
149,38.583333333333336,Hold
150,45.333333333333336,Hold
151,46.666666666666664,Skip
152,52.833333333333336,Hold
153,54.166666666666664,Hold
154,39.916666666666664,Hold
155,32.583333333333336,Hold
156,39.583333333333336,Hold
157,40.083333333333336,Skip
158,44.583333333333336,Hold
159,45.083333333333336,Hold
160,18.916666666666668,Hold
161,20.166666666666668,Hold
162,17.75,Skip
163,27.75,Hold
164,26.583333333333332,Hold
165,26.25,Hold
166,15.0,Hold
167,19.166666666666668,Hold
168,19.583333333333332,No action
169,20.666666666666668,Hold
170,21.166666666666668,Hold
171,20.5,Hold
172,14.75,Hold
173,15.166666666666666,Hold
174,21.166666666666668,Hold
175,22.333333333333332,Hold
176,22.0,Hold
177,28.25,Hold
178,28.833333333333332,Hold
179,27.416666666666668,Skip
180,37.416666666666664,Hold
181,43.416666666666664,Hold
182,42.416666666666664,Skip
183,41.0,Hold
184,36.333333333333336,No action
185,36.916666666666664,No action
186,25.75,Hold
187,27.416666666666668,Hold
188,34.166666666666664,Hold
189,35.666666666666664,Hold
190,32.916666666666664,Hold
191,31.0,Skip
192,38.916666666666664,Hold
193,37.916666666666664,Hold
194,43.916666666666664,Hold
195,44.583333333333336,Hold
196,40.333333333333336,Hold
197,36.75,Hold
198,27.333333333333332,Hold
199,27.833333333333332,Hold
200,26.5,Hold
201,27.083333333333332,Hold
202,21.833333333333332,Hold
203,27.75,Hold
204,29.5,Hold
205,31.833333333333332,Hold
206,28.666666666666668,Hold
207,29.333333333333332,No action
208,19.666666666666668,Hold
209,26.666666666666668,Hold
210,26.916666666666668,Hold
211,27.416666666666668,No action
212,28.583333333333332,Hold
213,20.166666666666668,Hold
214,17.25,Hold
215,21.666666666666668,Hold
216,19.583333333333332,Skip
217,22.5,Hold
218,23.333333333333332,Hold
219,17.166666666666668,Hold
220,21.5,Hold
221,15.166666666666666,Hold
222,12.5,Skip
223,15.833333333333334,Hold
224,9.333333333333334,Hold
225,13.166666666666666,Hold
226,15.833333333333334,Hold
227,17.083333333333332,Skip
228,20.833333333333332,Hold
229,22.083333333333332,Hold
230,14.666666666666666,Hold
231,18.416666666666668,Hold
232,14.916666666666666,Hold
233,10.416666666666666,Skip
234,15.666666666666666,Hold
235,18.75,Hold
236,19.916666666666668,Hold
237,22.083333333333332,Hold
238,22.166666666666668,Hold
239,16.833333333333332,Skip
240,23.916666666666668,Hold
241,26.416666666666668,Hold
242,27.916666666666668,Hold
243,30.416666666666668,Hold
244,25.333333333333332,Hold
245,21.25,No action
246,19.333333333333332,Hold
247,19.833333333333332,Hold
248,22.333333333333332,Hold
249,18.083333333333332,Hold
250,17.416666666666668,No action
251,11.833333333333334,Hold
252,12.416666666666666,Skip
253,13.0,Hold
254,15.166666666666666,Hold
255,16.75,Hold
256,20.083333333333332,No action
257,15.25,Hold
258,17.25,Hold
259,18.25,Hold
260,17.833333333333332,Skip
261,19.333333333333332,Hold
262,28.583333333333332,No action
263,29.583333333333332,Hold
264,27.25,Skip
265,22.833333333333332,Hold
266,24.5,Skip
267,25.75,Hold
268,27.25,Hold
269,32.25,No action
270,32.916666666666664,No action
271,28.333333333333332,Hold
272,23.5,Skip
273,25.833333333333332,Hold
274,27.583333333333332,Hold
275,13.916666666666666,Hold
276,16.416666666666668,Skip
277,16.833333333333332,No action
278,21.25,Skip
279,24.75,Hold
280,21.333333333333332,Hold
281,22.833333333333332,Hold
282,25.166666666666668,Hold
283,28.916666666666668,No action
284,34.75,Skip
285,40.5,Hold
286,37.333333333333336,Skip
287,38.833333333333336,Hold
288,43.5,Hold
289,38.25,No action
290,32.083333333333336,Hold
291,30.916666666666668,No action
292,32.666666666666664,Hold
293,30.083333333333332,Hold
294,34.083333333333336,Hold
295,36.083333333333336,Skip
296,40.583333333333336,Hold
297,41.083333333333336,Hold
298,39.5,Hold
299,41.25,Hold
300,41.0,Hold
301,42.0,Skip
302,45.666666666666664,Hold
303,46.083333333333336,Skip
304,27.5,Hold
305,33.916666666666664,Hold
306,34.833333333333336,No action
307,28.0,Skip
308,28.416666666666668,Hold
309,18.833333333333332,Hold
310,19.0,Hold
311,20.0,Hold
312,23.0,Hold
313,16.5,No action
314,28.083333333333332,Hold
315,26.666666666666668,Hold
316,26.166666666666668,Hold
317,22.166666666666668,No action
318,22.583333333333332,Hold
319,23.5,Skip
320,28.583333333333332,Hold
321,33.0,Hold
322,27.166666666666668,Hold
323,27.083333333333332,Hold
324,29.666666666666668,Hold
325,24.666666666666668,Skip
326,29.0,Hold
327,29.583333333333332,Hold
328,30.083333333333332,Hold
329,31.75,Hold
330,33.916666666666664,Skip
331,40.083333333333336,Hold
332,42.166666666666664,Hold
333,44.583333333333336,Skip
334,45.583333333333336,Hold
335,29.583333333333332,Hold
336,29.333333333333332,Skip
337,32.916666666666664,Skip
338,34.583333333333336,Hold
339,35.166666666666664,Hold
340,30.583333333333332,Hold
341,13.166666666666666,Skip
342,15.583333333333334,Skip
343,23.75,Hold
344,28.833333333333332,Hold
345,20.083333333333332,Hold
346,18.333333333333332,Hold
347,18.833333333333332,Hold
348,25.416666666666668,Hold
349,30.416666666666668,Hold
350,31.666666666666668,Hold
351,24.75,Skip
352,25.75,Hold
353,27.416666666666668,Skip
354,32.833333333333336,Hold
355,39.833333333333336,Hold
356,41.333333333333336,Hold
357,41.833333333333336,No action
358,33.333333333333336,Hold
359,34.0,No action
360,28.75,Hold
361,32.166666666666664,Skip
362,34.25,Hold
363,36.75,Hold
364,27.583333333333332,Hold
365,29.25,Hold
366,29.583333333333332,Hold
367,30.333333333333332,Hold
368,36.25,Skip
369,37.083333333333336,Skip
370,39.583333333333336,Hold
371,41.25,Hold
372,42.5,No action
373,35.0,Hold
374,38.666666666666664,Hold
375,41.75,Hold
376,19.083333333333332,Hold
377,18.0,No action
378,11.333333333333334,Hold
379,12.583333333333334,Hold
380,13.083333333333334,Hold
381,18.416666666666668,Skip
382,18.833333333333332,Hold
383,16.75,Hold
384,26.666666666666668,Hold
385,26.5,Hold
386,27.083333333333332,Hold
387,24.75,Hold
388,17.0,Hold
389,17.416666666666668,Hold
390,14.5,Hold
391,15.083333333333334,Hold
392,16.25,Hold
393,14.0,Skip
394,17.5,Hold
395,18.0,No action
396,21.0,No action
397,14.166666666666666,Hold
398,14.583333333333334,Hold
399,16.0,Hold
400,16.5,Skip
401,13.833333333333334,Hold
402,18.083333333333332,Hold
403,19.083333333333332,Hold
404,15.583333333333334,Skip
405,16.0,Hold
406,16.833333333333332,Hold
407,20.333333333333332,Hold
408,13.833333333333334,Hold
409,16.916666666666668,Hold
410,12.083333333333334,Hold
411,20.333333333333332,Hold
412,19.666666666666668,Hold
413,23.833333333333332,Hold
414,24.25,Hold
415,13.416666666666666,No action
416,13.75,Hold
417,16.083333333333332,Hold
418,16.583333333333332,Hold
419,24.083333333333332,Hold
