,Bus,Headway,Time
0,NA,NA,12:11:04
1,bus.0,49.32999999999987,12:12:06
2,bus.5,45.4099999999998,12:12:07
3,bus.0,20.200999999999993,12:12:07
4,bus.5,26.91599999999997,12:12:07
5,bus.0,20.200999999999993,12:12:08
6,bus.5,26.91599999999997,12:12:08
7,bus.0,20.200999999999993,12:12:09
8,bus.5,26.918499999999966,12:12:09
9,bus.0,20.200999999999993,12:12:20
10,bus.5,26.91599999999997,12:12:29
11,bus.0,20.200999999999993,12:12:33
12,bus.5,26.91599999999997,12:12:37
13,bus.0,20.200999999999993,12:12:41
14,bus.5,26.918499999999966,12:12:46
15,bus.0,20.200999999999993,12:12:49
16,bus.5,26.91599999999997,12:12:53
17,bus.0,20.200999999999993,12:12:57
18,bus.5,26.91599999999997,12:13:01
19,bus.0,20.200999999999993,12:13:05
20,bus.5,26.918499999999966,12:13:10
21,bus.0,20.200999999999993,12:13:14
22,bus.3,20.200999999999993,12:13:20
23,bus.0,20.200999999999993,12:13:22
24,bus.2,26.91599999999997,12:13:24
25,bus.5,26.91599999999997,12:13:26
26,bus.3,20.200999999999993,12:13:28
27,bus.0,20.200999999999993,12:13:30
28,bus.2,26.918499999999966,12:13:32
29,bus.5,26.918499999999966,12:13:34
30,bus.3,20.200999999999993,12:13:36
31,bus.0,20.200999999999993,12:13:39
32,bus.2,26.91599999999997,12:13:41
33,bus.5,26.91599999999997,12:13:42
34,bus.0,20.200999999999993,12:13:44
35,bus.3,20.200999999999993,12:13:44
36,bus.5,26.91599999999997,12:13:47
37,bus.2,26.91599999999997,12:13:47
38,bus.0,20.200999999999993,12:13:50
39,bus.3,20.200999999999993,12:13:50
40,bus.2,26.918499999999966,12:13:52
41,bus.0,20.200999999999993,12:13:53
42,bus.3,20.200999999999993,12:13:54
43,bus.5,26.91599999999997,12:13:54
44,bus.2,26.91599999999997,12:13:55
45,bus.0,20.200999999999993,12:13:56
46,bus.3,20.200999999999993,12:14:02
47,bus.2,26.91599999999997,12:14:08
48,bus.0,20.200999999999993,12:14:09
49,bus.3,20.200999999999993,12:14:11
50,bus.5,26.918499999999966,12:14:12
