,Bus,Headway,Time
0,NA,NA,12:50:38
1,bus.0,20.200999999999993,12:51:46
2,bus.5,26.918499999999966,12:51:46
3,bus.0,20.200999999999993,12:51:46
4,bus.5,26.91599999999997,12:51:47
5,bus.0,20.200999999999993,12:51:47
6,bus.5,26.91599999999997,12:51:48
7,bus.0,20.200999999999993,12:51:48
8,bus.0,20.200999999999993,12:51:49
9,bus.5,26.91599999999997,12:51:49
10,bus.0,20.200999999999993,12:51:50
11,bus.0,20.200999999999993,12:51:50
12,bus.0,20.200999999999993,12:51:51
13,bus.0,20.200999999999993,12:51:52
14,bus.5,26.91599999999997,12:51:52
15,bus.0,20.200999999999993,12:51:53
16,bus.0,20.200999999999993,12:51:53
17,bus.0,20.200999999999993,12:51:54
18,bus.5,26.91599999999997,12:51:54
19,bus.0,20.200999999999993,12:51:55
20,bus.5,26.918499999999966,12:51:55
21,bus.0,20.200999999999993,12:51:56
22,bus.5,26.91599999999997,12:51:56
23,bus.0,20.200999999999993,12:51:57
24,bus.5,95.00999999999992,12:51:57
25,bus.0,20.200999999999993,12:51:57
26,bus.5,95.01499999999992,12:51:58
27,bus.0,20.200999999999993,12:51:58
28,bus.5,26.91599999999997,12:51:59
29,bus.0,20.200999999999993,12:51:59
30,bus.5,26.91599999999997,12:52:00
31,bus.0,20.200999999999993,12:52:00
32,bus.5,26.918499999999966,12:52:00
33,bus.0,20.200999999999993,12:52:01
34,bus.5,26.91599999999997,12:52:01
35,bus.0,20.200999999999993,12:52:02
36,bus.5,26.91599999999997,12:52:02
37,bus.0,20.200999999999993,12:52:03
38,bus.5,26.918499999999966,12:52:03
39,bus.0,20.200999999999993,12:52:03
40,bus.5,26.91599999999997,12:52:04
41,bus.0,20.200999999999993,12:52:04
42,bus.5,26.91599999999997,12:52:05
43,bus.0,20.200999999999993,12:52:05
44,bus.5,26.918499999999966,12:52:05
45,bus.0,20.200999999999993,12:52:06
46,bus.5,26.91599999999997,12:52:06
47,bus.0,20.200999999999993,12:52:07
48,bus.5,26.91599999999997,12:52:07
49,bus.0,20.200999999999993,12:52:07
50,bus.5,26.918499999999966,12:52:08
51,bus.0,20.200999999999993,12:52:08
52,bus.5,26.91599999999997,12:52:09
53,bus.0,20.200999999999993,12:52:09
54,bus.5,26.91599999999997,12:52:10
55,bus.0,20.200999999999993,12:52:10
56,bus.5,26.918499999999966,12:52:11
57,bus.0,20.200999999999993,12:52:11
58,bus.5,26.91599999999997,12:52:11
59,bus.0,20.200999999999993,12:52:12
60,bus.0,20.200999999999993,12:52:13
61,bus.5,26.918499999999966,12:52:13
62,bus.0,20.200999999999993,12:52:13
63,bus.5,26.91599999999997,12:52:14
64,bus.0,20.200999999999993,12:52:14
65,bus.5,26.91599999999997,12:52:15
66,bus.0,20.200999999999993,12:52:15
67,bus.5,95.01499999999992,12:52:15
68,bus.0,20.200999999999993,12:52:16
69,bus.5,26.91599999999997,12:52:16
70,bus.0,20.200999999999993,12:52:17
71,bus.5,26.91599999999997,12:52:17
72,bus.0,20.200999999999993,12:52:17
73,bus.5,26.918499999999966,12:52:18
74,bus.0,20.200999999999993,12:52:18
75,bus.0,20.200999999999993,12:52:19
76,bus.5,95.00999999999992,12:52:19
77,bus.0,20.200999999999993,12:52:20
78,bus.5,26.918499999999966,12:52:20
79,bus.0,20.200999999999993,12:52:21
80,bus.5,26.91599999999997,12:52:21
81,bus.0,20.200999999999993,12:52:22
82,bus.5,26.91599999999997,12:52:22
83,bus.0,20.200999999999993,12:52:23
84,bus.5,26.918499999999966,12:52:23
85,bus.0,20.200999999999993,12:52:23
86,bus.5,26.91599999999997,12:52:24
87,bus.0,20.200999999999993,12:52:24
88,bus.5,26.91599999999997,12:52:25
89,bus.0,20.200999999999993,12:52:25
90,bus.5,26.918499999999966,12:52:25
91,bus.0,20.200999999999993,12:52:26
92,bus.5,95.00999999999992,12:52:26
93,bus.0,20.200999999999993,12:52:27
94,bus.5,26.91599999999997,12:52:27
95,bus.0,20.200999999999993,12:52:27
96,bus.5,95.01499999999992,12:52:28
97,bus.0,20.200999999999993,12:52:28
98,bus.5,26.91599999999997,12:52:29
99,bus.0,20.200999999999993,12:52:29
100,bus.5,26.91599999999997,12:52:30
101,bus.0,20.200999999999993,12:52:30
102,bus.5,95.01499999999992,12:52:31
103,bus.0,20.200999999999993,12:52:31
104,bus.0,20.200999999999993,12:52:32
105,bus.5,26.91599999999997,12:52:32
106,bus.0,20.200999999999993,12:52:33
107,bus.5,26.918499999999966,12:52:33
108,bus.0,20.200999999999993,12:52:33
109,bus.5,26.91599999999997,12:52:34
110,bus.0,20.200999999999993,12:52:34
111,bus.5,26.91599999999997,12:52:35
112,bus.0,20.200999999999993,12:52:35
113,bus.5,26.918499999999966,12:52:35
114,bus.0,20.200999999999993,12:52:36
115,bus.5,26.91599999999997,12:52:36
116,bus.0,20.200999999999993,12:52:37
117,bus.5,26.91599999999997,12:52:37
118,bus.0,20.200999999999993,12:52:37
119,bus.5,26.918499999999966,12:52:38
120,bus.0,20.200999999999993,12:52:38
121,bus.5,26.91599999999997,12:52:39
122,bus.0,20.200999999999993,12:52:39
123,bus.1,25.40100000000004,12:52:39
124,bus.5,26.91599999999997,12:52:40
125,bus.0,20.200999999999993,12:52:40
126,bus.1,25.40100000000004,12:52:40
127,bus.5,26.918499999999966,12:52:41
128,bus.0,20.200999999999993,12:52:41
129,bus.1,20.200999999999993,12:52:41
130,bus.5,95.00999999999992,12:52:41
131,bus.0,20.200999999999993,12:52:42
132,bus.1,25.40100000000004,12:52:42
