,Bus,Headway,Time
0,NA,NA,23:34:44
1,bus.0,95.52999999999881,23:39:57
2,bus.0,69.63999999999848,23:40:01
3,bus.5,73.99999999999983,23:40:04
4,bus.0,25.229999999998142,23:40:05
5,bus.5,27.749999999999858,23:40:08
6,bus.0,16.851,23:40:09
7,bus.5,27.749999999999915,23:40:12
8,bus.0,16.851,23:40:13
9,bus.5,22.199999999999932,23:40:17
10,bus.0,16.851,23:40:17
11,bus.5,20.349999999999937,23:40:21
12,bus.0,16.851,23:40:22
13,bus.5,22.199999999999932,23:40:25
14,bus.0,16.851,23:40:26
15,bus.5,22.199999999999932,23:40:29
16,bus.0,16.851,23:40:30
17,bus.5,20.349999999999937,23:40:34
18,bus.0,16.851,23:40:34
19,bus.5,22.199999999999932,23:40:38
20,bus.0,16.851,23:40:38
21,bus.5,16.851,23:40:42
22,bus.0,16.851,23:40:42
23,bus.5,22.199999999999932,23:40:46
24,bus.0,16.851,23:40:46
25,bus.5,25.89999999999992,23:40:50
26,bus.0,16.851,23:40:50
27,bus.5,22.199999999999932,23:40:54
28,bus.0,16.851,23:40:54
29,bus.5,25.89999999999992,23:40:58
30,bus.0,16.851,23:40:59
31,bus.5,25.89999999999992,23:41:02
32,bus.0,16.851,23:41:03
33,bus.5,24.049999999999926,23:41:06
34,bus.0,16.851,23:41:07
35,bus.5,24.049999999999926,23:41:10
36,bus.0,16.851,23:41:11
37,bus.5,22.199999999999932,23:41:15
38,bus.0,16.851,23:41:15
39,bus.5,25.89999999999992,23:41:19
40,bus.0,16.851,23:41:19
41,bus.5,22.199999999999932,23:41:23
42,bus.0,16.851,23:41:23
43,bus.5,22.199999999999932,23:41:27
44,bus.0,16.851,23:41:27
45,bus.5,16.851,23:41:31
46,bus.0,16.851,23:41:31
47,bus.5,22.199999999999932,23:41:35
48,bus.0,16.851,23:41:35
49,bus.5,24.049999999999926,23:41:39
50,bus.0,16.851,23:41:40
51,bus.5,22.199999999999932,23:41:44
52,bus.0,16.851,23:41:44
53,bus.5,36.999999999999886,23:41:48
54,bus.0,16.851,23:41:48
55,bus.5,27.749999999999915,23:41:52
56,bus.0,16.851,23:41:52
57,bus.0,16.851,23:41:56
58,bus.5,24.049999999999926,23:42:00
59,bus.0,16.851,23:42:01
60,bus.5,25.89999999999992,23:42:05
61,bus.0,16.851,23:42:05
62,bus.5,31.449999999999903,23:42:09
63,bus.0,16.851,23:42:09
64,bus.5,22.199999999999932,23:42:13
65,bus.0,16.851,23:42:13
66,bus.5,20.349999999999937,23:42:17
67,bus.0,16.851,23:42:17
68,bus.4,82.57999999999859,23:42:20
69,bus.5,16.851,23:42:21
70,bus.0,16.851,23:42:21
71,bus.4,80.72999999999868,23:42:24
72,bus.5,22.199999999999932,23:42:25
73,bus.0,16.851,23:42:25
74,bus.3,99.8999999999997,23:42:27
75,bus.4,38.18999999999804,23:42:28
76,bus.5,24.049999999999926,23:42:29
77,bus.0,16.851,23:42:30
78,bus.3,83.24999999999974,23:42:31
79,bus.4,54.829999999998364,23:42:32
80,bus.5,22.199999999999932,23:42:33
81,bus.0,16.851,23:42:34
82,bus.3,64.7499999999998,23:42:35
83,bus.4,16.851,23:42:36
84,bus.5,38.84999999999988,23:42:37
85,bus.0,16.851,23:42:38
86,bus.3,48.09999999999985,23:42:40
87,bus.4,16.851,23:42:40
88,bus.5,27.749999999999915,23:42:42
89,bus.0,16.851,23:42:42
90,bus.3,29.59999999999991,23:42:44
91,bus.4,16.851,23:42:44
92,bus.5,29.59999999999991,23:42:46
93,bus.0,16.851,23:42:47
94,bus.3,40.699999999999875,23:42:48
95,bus.4,19.679999999998216,23:42:48
96,bus.5,25.89999999999992,23:42:50
97,bus.0,16.851,23:42:51
98,bus.3,24.049999999999926,23:42:52
99,bus.4,16.851,23:42:52
100,bus.5,33.2999999999999,23:42:55
101,bus.0,16.851,23:42:55
102,bus.3,16.851,23:42:56
103,bus.4,16.851,23:42:56
104,bus.5,25.89999999999992,23:42:59
105,bus.0,16.851,23:42:59
106,bus.3,22.199999999999932,23:43:00
107,bus.4,16.851,23:43:01
108,bus.5,24.049999999999926,23:43:03
109,bus.0,16.851,23:43:03
110,bus.3,16.851,23:43:04
111,bus.4,16.851,23:43:05
112,bus.5,24.049999999999926,23:43:07
113,bus.0,16.851,23:43:08
114,bus.3,29.59999999999991,23:43:09
115,bus.4,16.851,23:43:09
116,bus.5,20.349999999999937,23:43:11
117,bus.0,16.851,23:43:12
118,bus.4,38.17999999999816,23:43:13
119,bus.5,22.199999999999932,23:43:15
120,bus.0,16.851,23:43:16
121,bus.3,62.89999999999981,23:43:17
122,bus.4,16.851,23:43:18
123,bus.5,24.049999999999926,23:43:19
124,bus.0,16.851,23:43:20
125,bus.3,64.7499999999998,23:43:21
126,bus.4,30.779999999998182,23:43:22
127,bus.5,22.199999999999932,23:43:24
128,bus.0,16.851,23:43:24
129,bus.3,51.79999999999984,23:43:25
130,bus.4,16.851,23:43:26
131,bus.5,59.19999999999982,23:43:28
132,bus.0,34.47999999999817,23:43:28
133,bus.3,59.19999999999982,23:43:30
134,bus.4,36.339999999998156,23:43:31
135,bus.5,72.14999999999978,23:43:32
136,bus.0,34.48999999999805,23:43:33
137,bus.3,53.649999999999835,23:43:34
138,bus.4,16.851,23:43:35
139,bus.5,53.649999999999835,23:43:36
140,bus.0,16.851,23:43:37
141,bus.3,40.699999999999875,23:43:38
142,bus.4,25.2299999999982,23:43:39
143,bus.5,31.449999999999903,23:43:41
144,bus.0,16.851,23:43:41
145,bus.3,29.59999999999991,23:43:42
146,bus.4,16.851,23:43:43
147,bus.5,42.54999999999987,23:43:45
148,bus.0,16.851,23:43:46
149,bus.3,24.049999999999926,23:43:46
150,bus.4,16.851,23:43:47
151,bus.5,40.699999999999875,23:43:49
152,bus.0,16.851,23:43:50
153,bus.3,22.199999999999932,23:43:50
154,bus.4,16.851,23:43:51
155,bus.5,31.449999999999903,23:43:53
156,bus.0,16.851,23:43:54
157,bus.3,16.851,23:43:54
158,bus.4,16.851,23:43:55
159,bus.5,31.449999999999903,23:43:57
160,bus.0,16.851,23:43:58
161,bus.3,22.199999999999932,23:43:59
162,bus.4,16.851,23:43:59
163,bus.5,16.851,23:44:01
164,bus.0,16.851,23:44:02
165,bus.3,66.5999999999998,23:44:03
166,bus.4,17.829999999998222,23:44:04
167,bus.5,22.199999999999932,23:44:05
168,bus.0,16.851,23:44:06
169,bus.3,48.09999999999985,23:44:07
170,bus.4,16.851,23:44:08
171,bus.5,24.049999999999926,23:44:09
172,bus.0,16.851,23:44:10
173,bus.3,62.89999999999981,23:44:12
174,bus.4,34.47999999999817,23:44:12
175,bus.5,22.199999999999932,23:44:14
176,bus.0,16.851,23:44:14
177,bus.3,51.79999999999984,23:44:16
178,bus.4,16.851,23:44:16
179,bus.5,72.14999999999978,23:44:18
180,bus.0,27.079999999998194,23:44:19
181,bus.3,59.19999999999982,23:44:20
182,bus.4,32.63999999999817,23:44:21
183,bus.0,17.8399999999981,23:44:23
184,bus.3,51.79999999999984,23:44:24
185,bus.4,16.851,23:44:25
186,bus.5,31.449999999999903,23:44:26
187,bus.0,16.851,23:44:27
188,bus.3,40.699999999999875,23:44:28
189,bus.4,21.52999999999821,23:44:29
190,bus.5,35.14999999999989,23:44:31
191,bus.0,16.851,23:44:32
192,bus.3,27.749999999999915,23:44:32
193,bus.4,16.851,23:44:33
194,bus.5,46.24999999999986,23:44:35
195,bus.0,16.851,23:44:36
196,bus.3,16.851,23:44:36
197,bus.4,16.851,23:44:37
