,meanWaitTime,action,dispersion,headwaySD
0,11.083333333333334,Skip,0,0
1,11.083333333333334,No action,0,2386.040541744368
2,14.083333333333334,No action,0,2368.306303416614
3,21.166666666666668,Hold,8.33333333333333,2297.8734098563214
4,31.25,No action,8.33333333333333,2200.2616679679645
5,35.833333333333336,No action,7.4242424242424265,2183.951612593379
6,38.333333333333336,Skip,7.4242424242424265,2174.796889208359
7,39.166666666666664,Hold,7.4242424242424265,2172.7530405071657
8,40.833333333333336,Hold,7.4242424242424265,2169.069413373784
9,56.666666666666664,Skip,6.991228070175438,1821.5991624083856
10,73.33333333333333,Hold,6.366666666666666,1922.9530649137737
11,75.83333333333333,Skip,6.366666666666666,1921.519845757064
12,76.66666666666667,Skip,6.366666666666666,1917.0550661934235
13,90.0,Hold,6.366666666666666,1766.0893902848366
14,93.33333333333333,Hold,6.366666666666666,1735.3080747277186
15,95.0,Skip,6.366666666666666,1722.105236246217
16,95.58333333333333,Hold,5.253623188405795,1713.659183768821
17,85.25,Hold,7.333333333333334,1444.9777933524326
18,89.91666666666667,Skip,7.333333333333334,1328.4090915082095
19,91.25,Skip,7.333333333333334,1308.9839250237396
20,101.25,Hold,7.333333333333334,1132.5829316355698
21,105.91666666666667,Skip,7.333333333333334,1143.1099693068322
22,106.58333333333333,Skip,7.333333333333334,1148.8634967876828
23,107.25,Hold,7.333333333333334,1151.5116379880785
24,107.91666666666667,Skip,7.333333333333334,1154.034416002266
25,114.58333333333333,Hold,6.85658914728682,1220.6936146493947
26,121.25,Hold,6.85658914728682,1153.4389237410883
27,121.91666666666667,Hold,6.85658914728682,1148.8408989900306
28,123.16666666666667,Skip,7.333333333333333,1140.175085680119
29,97.41666666666667,Hold,13.086666666666668,1155.1523782079817
30,102.91666666666667,Skip,13.30701754385965,1235.8375883714116
31,103.91666666666667,Hold,13.30701754385965,1255.1994136207559
32,100.16666666666667,Hold,13.401515151515152,1279.185289183978
33,97.5,Skip,15.328178694158074,1044.8632963977736
34,98.66666666666667,Skip,15.328178694158074,1019.3076454402216
35,99.25,No action,15.328178694158074,1013.717945571811
36,102.08333333333333,Hold,16.551282051282055,1042.752339891831
37,91.91666666666667,No action,17.51851851851852,1140.9622640857435
38,93.33333333333333,Skip,17.548929663608558,1132.4337345364208
39,96.25,Hold,17.55128205128205,1091.3238650195558
40,99.16666666666667,No action,17.06190476190476,1068.9260592804765
41,83.91666666666667,Hold,20.017543859649123,1231.2160287108657
42,86.16666666666667,Skip,15.876068376068375,1255.244735233023
43,71.16666666666667,Hold,13.562015503875967,1100.1758443847202
44,73.83333333333333,Skip,13.562015503875967,1035.39144596943
45,75.16666666666667,Hold,13.562015503875967,1012.7287162188214
46,73.5,Hold,12.378787878787877,987.1033375065989
47,77.91666666666667,No action,12.383720930232558,971.4316420257727
48,77.08333333333333,Skip,12.302564102564101,995.6712347886504
49,82.58333333333333,Hold,12.374666666666666,892.995201633245
50,87.58333333333333,Hold,12.374666666666666,804.6194182495362
51,88.33333333333333,Hold,12.374666666666666,802.2233863680918
52,89.5,Hold,10.238292011019285,820.7474596528866
53,97.5,No action,9.927350427350428,988.0771928701838
54,74.58333333333333,Hold,11.14041994750656,1078.177529155359
55,79.33333333333333,Skip,11.523809523809524,975.1743986870587
56,81.08333333333333,No action,11.14041994750656,941.0857989676958
57,82.25,Hold,11.14041994750656,915.9372881303366
58,85.16666666666667,Skip,12.221763085399445,827.113291099163
59,59.833333333333336,Hold,12.849462365591396,704.4283246788766
60,62.666666666666664,Hold,12.849462365591396,719.4600653206697
61,63.25,Skip,12.849462365591396,733.5308271837586
62,64.41666666666667,Hold,13.31267217630854,751.035854257897
63,72.33333333333333,Hold,14.2183908045977,682.3868811152674
64,73.5,Hold,14.2183908045977,644.6851977391756
65,75.25,Skip,14.031531531531531,597.9114496729427
66,85.16666666666667,Skip,13.603975535168194,559.2518871270951
67,88.66666666666667,No action,13.603975535168194,589.0934844640472
68,89.83333333333333,No action,13.603975535168194,576.7154712364637
69,82.5,Skip,15.333333333333334,457.8578020482051
70,83.5,Hold,15.333333333333334,455.7334457643014
71,84.0,No action,15.333333333333334,462.66383825751797
72,73.08333333333333,Skip,15.34789644012945,612.968778419695
73,74.33333333333333,Hold,15.34789644012945,634.2145252367949
74,77.25,Hold,17.005050505050505,692.196312085588
75,78.5,Hold,17.005050505050505,684.6469041873579
76,82.66666666666667,Hold,17.005050505050505,553.2711906719484
77,79.25,Skip,18.254901960784313,515.0116055248981
78,75.58333333333333,Hold,20.0314465408805,428.04699224994243
79,82.25,Hold,20.0314465408805,493.43642047098854
80,73.75,Skip,21.284848484848485,565.5887164193509
81,59.833333333333336,Hold,20.654088050314463,597.9839897173018
82,62.0,Skip,20.52857142857143,611.7762386947988
83,65.25,No action,20.654088050314463,595.1955486157469
84,66.25,Hold,20.654088050314463,585.7888689913988
85,43.166666666666664,Hold,18.68018018018018,538.2953626722145
86,44.166666666666664,Hold,18.68018018018018,540.223083743081
87,43.166666666666664,No action,18.68018018018018,555.42946927245
88,45.666666666666664,No action,17.137254901960784,641.8455269933205
89,48.0,Hold,17.503401360544224,653.1702303193442
90,58.083333333333336,Hold,17.503401360544224,571.5252334073565
91,60.5,No action,18.166666666666668,599.1757241366398
92,43.833333333333336,Hold,19.513201320132016,599.1308593777044
93,37.916666666666664,Hold,19.019607843137255,620.4871339766379
94,38.25,Hold,19.713333333333328,593.4836965316644
95,48.5,Skip,20.462585034013607,562.9271383624073
96,49.5,Hold,20.85395189003436,565.3637047832325
