,SD,Reward,Action
0,3861.163022832485,-1544.465209132994,2
1,36836.151636805414,-14767.796654722166,2
2,39542.379330774835,-15833.613732309934,2
3,101118.78896858003,-40501.62958743202,2
4,111219.85108995707,-44488.65443598283,2
5,115575.36214005802,-46236.39685602321,2
6,78332.76640020908,-31398.60256008363,2
7,80771.91806854794,-32322.483227419176,2
8,81734.9350373239,-32698.42001492956,2
9,82967.73673476269,-33205.56869390508,2
10,79677.55150762353,-31953.160603049415,2
11,84827.38103000542,-33945.79041200217,2
12,84722.91567626494,-33910.256270505975,2
13,74357.50755579238,-29748.145022316956,2
14,75903.48292198125,-30372.8051687925,2
15,68251.67835705988,-27405.00534282395,2
16,72505.37398339673,-29007.30359335869,2
17,73080.20641144145,-29255.386564576584,2
18,73943.40872004001,-29586.243488016007,2
19,71771.7043774429,-28762.267750977164,2
20,72993.46148509734,-29213.230594038938,2
21,81283.9893336935,-32610.171733477404,2
22,85721.0846681696,-34308.407867267844,2
23,86717.23804988257,-34710.211219953024,2
24,79144.80363232952,-31667.197452931814,2
25,66831.14510980266,-26767.180043921064,2
26,32484.42400982354,-13027.381603929414,2
27,73782.36655510734,-29570.666622042936,2
28,77022.92834117643,-30830.267336470577,2
29,77557.4129133093,-31058.48516532372,2
30,81546.83502135445,-32632.462008541785,2
31,70458.79781829946,-28218.241127319783,2
32,23495.485140766938,-9445.126056306774,2
33,76629.69564890009,-30720.692259560034,2
34,80893.51851400944,-32391.81740560378,2
35,81355.13467507751,-32586.447870031006,2
36,78829.36361692894,-31543.24144677158,2
37,73273.12286172688,-29360.61514469075,2
38,49568.76825592624,-19874.433302370497,2
39,72254.11563763263,-28957.14025505305,2
40,72788.70620096034,-29159.888480384136,2
41,73056.03888278543,-29301.231553114172,2
42,57450.44593984889,-22980.57437593956,2
43,61848.169106332934,-24785.08964253317,2
44,62878.68146080991,-25221.714584323963,2
45,73103.78785766773,-29294.795143067095,2
46,74611.91159421568,-29921.354637686272,2
47,79851.4211095972,-31980.936443838884,2
48,82099.59796740615,-32841.357186962465,2
49,83107.32420637217,-33288.75168254887,2
50,72104.5502738038,-28899.852109521522,2
51,78448.62344354743,-31460.473377418974,2
52,72494.65441150164,-29063.34576460066,2
53,76867.70946242641,-30768.56978497057,2
54,77431.00617969522,-30983.898471878092,2
55,84676.7895098031,-33914.31180392124,2
56,61222.42288318472,-24540.33515327389,2
57,72705.6586581108,-29154.41946324432,2
58,69317.92157315611,-27777.12462926245,2
59,73372.57292446242,-29366.075169784974,2
60,72268.14923386028,-28928.745693544115,2
61,65118.80816054606,-26081.135264218425,2
62,42904.36578309951,-17210.898313239803,2
63,80326.4789743066,-32198.301589722643,2
64,81805.39090919105,-32768.77636367642,2
65,71506.19616197995,-28622.866464791987,2
66,67545.37653311291,-27048.528613245166,2
67,53724.278391500986,-21508.893356600394,2
68,26626.93952912163,-10727.677811648651,2
69,74347.70327992654,-29817.88531197062,2
70,77927.46917927914,-31193.583671711658,2
71,81303.43013554566,-32550.226054218263,2
72,86144.68934826873,-34492.681739307496,2
73,81536.69033882675,-32639.4021355307,2
74,68021.66303235684,-27291.11121294274,2
75,71809.00547439871,-28810.188189759487,2
76,68028.19262547615,-27244.97305019046,2
77,62612.65291251486,-25082.807165005943,2
78,56084.14458650502,-22459.58383460201,2
79,51453.24162771477,-20610.46865108591,2
80,23805.84222806452,-9607.008891225807,2
81,57364.431276597694,-23045.672510639077,2
82,64554.67488165663,-25844.477952662655,2
83,55763.90736972157,-22344.412947888628,2
84,59102.7584908033,-23659.271396321325,2
85,58695.96969980137,-23497.569879920546,2
86,55314.37152816216,-22208.200611264863,2
87,82259.59934100734,-33025.933736402934,2
88,93056.89020417683,-37225.690081670735,2
89,93762.63573821071,-37528.358295284284,2
90,94385.17371682671,-37774.04948673069,2
91,91297.44522423517,-36530.38408969407,2
92,81407.37968949573,-32643.177875798294,2
93,68481.92226719196,-27512.65490687678,2
94,72125.04498438805,-28879.98199375522,2
95,73185.87435807238,-29283.943743228956,2
96,73451.31100183909,-29393.13640073564,2
97,66409.68343212876,-26574.175372851503,2
98,66680.94020965103,-26739.28808386041,2
99,82449.79120130559,-33079.81648052224,2
100,87593.04638433857,-35077.18455373543,2
101,87177.0845760943,-34888.185830437724,2
102,87955.0964054244,-35243.40056216976,2
103,82024.24804440452,-32820.001217761805,2
104,71588.41380108624,-28751.909520434496,2
105,79545.05918184394,-31871.303672737577,2
106,86468.74877231658,-34609.303508926634,2
107,87480.61150442137,-34993.75060176855,2
108,75248.15875280603,-30110.669501122415,2
109,75539.96901512177,-30293.993606048705,2
110,75100.01458222228,-30178.761832888915,2
111,85508.84262395842,-34270.13104958337,2
112,86777.7149094727,-34717.03796378909,2
113,81762.46661603898,-32709.024646415593,2
114,82888.33122151453,-33203.77648860581,2
115,81777.46083409671,-32815.636333638686,2
116,72004.58589499506,-28952.794357998027,2
117,83805.95706153591,-33593.42882461437,2
118,82613.81636108487,-33046.23454443395,2
119,83884.61635021181,-33560.50054008473,2
120,73485.91377434181,-29445.731509736725,2
121,80948.65005098225,-32486.3320203929,2
122,76568.23022148285,-30766.03608859314,2
123,89012.23206953076,-35661.502827812306,2
124,86687.36910696678,-34688.27364278671,2
125,73331.28439197276,-29380.555756789105,2
126,82373.55025545214,-33052.956102180855,2
127,71986.6321249126,-28927.858849965043,2
128,82677.81215591574,-33093.324862366295,2
129,89087.3949770985,-35679.6699908394,2
130,83922.35214582286,-33673.592858329146,2
131,79097.94000987355,-31774.59600394942,2
132,92127.16441099076,-36888.599764396306,2
133,89028.28702050576,-35656.0208082023,2
134,93835.58357159731,-37551.19542863892,2
135,84313.46539485188,-33836.69815794075,2
136,67173.96815731522,-27017.21126292609,2
137,80199.80778460445,-32109.89911384178,2
138,80793.0543316878,-32360.115732675124,2
139,76811.44832803245,-30784.51933121298,2
140,82198.73078851678,-32889.79431540671,2
141,81858.15385911304,-32873.43754364522,2
142,66711.32396892975,-26837.715587571904,2
